,Panc 04.03,HCC-2108,JL-1,RCM-1,RERF-LC-Ad1,SK-MEL-28,KALS-1,TE-1,NCI-H2126,EFO-21,SK-MEL-31,CAL-120,SNU-503,SW 1088,NCI-H2023,Panc 02.03,BEN,VMRC-RCZ,KURAMOCHI,PA-TU-8902,HPAF-II,YAPC,VMRC-RCW,SK-MEL-2,WM-793,A549,SNU-1041,SNU-1066,SNU-1272,U-87 MG,DBTRG-05MG,Caki-2,NCI-H2342,NCI-H1373,NMC-G1,MKN-45,CCF-STTG1,Hs 895.T,SNU-201,DLD-1,SNU-C4,GAMG,RCC10RGB,HCC-1171,KP-2,HCT-8,GSU,KYSE-450,HCC1428,LS411N,SNU-899,SNU-668,KMRC-20,Hs 936.T,KMRC-2,HCC-78,HCC-56,PK-59,Panc 05.04,SNU-387,HCT 116,IPC-298,SCC-9,PK-1,MKN7,SK-OV-3,NCI-H1792,EFE-184,HEC-108,NCI-H2110,SK-MEL-30,huH-1,BHT-101,ACC-MESO-1,TCCSUP,YKG1,LCLC-103H,TCC-PAN2,SUIT-2,NCI-H292,T24,KNS-42,M059K,639-V,NCI-H460,SNU-869,OV-90,KNS-81,OV56,FTC-133,NCI-H1838,BICR 18,BICR 16,NCI-H2030,RERF-LC-Ad2,MKN1,NCI-H2291,OVTOKO,TUHR4TKB,KYSE-520,HDQ-P1,HCC1395,PE/CA-PJ41 (clone D2),HCC1937,SNU-308,Capan-2,EFO-27,NCI-H1339,Hs 839.T,KMM-1,SNU-685,SNU-449,SW 1353,NCI-H1299,SNU-489,SNU-626,OVCAR-4,253J-BV,OVCAR-8,SF-295,COLO-800,Hs 822.T,SH-10-TC,Panc 10.05,HMC-1-8,GMS-10,Hs 294T,MOR/CPR,HCC38,KYSE-150,CJM,HCC202,KYSE-180,CAS-1,PA-TU-8988T,JHOS-2,AGS,KPL-1,KMRC-1,NCI-H838,U-118 MG,HEC-251,KYSE-30,HCC-366,NCI-H196,PK-45H,WM1799,DU 145,KYSE-70,HT-1376,NCI-H1395,ECC12,A2058,T-47D,YH-13,BL-41,SNU-475,SW1417,HUP-T3,EN,OE19,IGR-39,BICR 31,SNU-410,K029AX,SNU-245,NCI-H2444,SW 1990,SNU-1105,HuCCT1,T3M-10,NCI-H727,786-O,SJSA-1,OVSAHO,J82,RVH-421,RT4,HEC-59,MEL-JUSO,OAW28,BFTC-905,NCI-H2052,TE-9,BC-3C,Becker,SNU-46,Capan-1,Ishikawa (Heraklio) 02 ER-,Hs 729,769-P,OS-RC-2,HT55,Hs 688(A).T,OAW42,OE33,SNU-1077,Panc 03.27,SNU-213,MDA-MB-231,SNU-1196,LMSU,NCI-H1651,SK-MEL-5,KNS-62,SK-MEL-3,SK-HEP-1,FaDu,Caki-1,NCI-H1650,GOS-3,BFTC-909,MFE-319,HCC-1438,KU-19-19,SNU-C2A,NCI-H2122,HCC1143,COLO 205,KP-N-YN,CAMA-1,AsPC-1,LC-1F,MKN74,SW-1710,SW 1271,KATO III,MPP 89,NCI-H650,COLO 201,SW 1783,Hey-A8,COR-L47,Hep G2,SNU-423,ONS-76,DK-MG,JHOC-5,HEC-1-A,A-253,LS1034,JHH-4,RKO,MDA-MB-415,HLF,RMG-I,TE-10,NCI-H1869,SK-LMS-1,SNG-M,ONCO-DG-1,SU.86.86,IA-LM,NCI-H2452,LS 180,LOU-NH91,KYSE-510,MFE-296,L3.3,HCC1419,SNU-738,SNU-840,SK-LU-1,CAL-62,CAL-29,HARA,HCC-95,HCC1569,PSN1,PC-3,TT2609-C02,OVISE,HuG1-N,ACHN,HPAC,ZR-75-1,8-MG-BA,A-375,AM-38,Toledo,COV362,KG-1-C,ChaGo-K-1,NCI-H647,YD-8,ES-2,SHP-77,CL-34,CAL-78,RKN,BT-549,HEC-1-B,TM-31,LN-18,A-498,BHY,TE-14,KYSE-410,HCC-2279,BICR 6,BT-20,A101D,SNU-601,COLO 829,SNU-719,SNU-61,LN-229,HuH28,NCI-H1355,Calu-1,Hs 683,IGR-37,Hep 3B2.1-7,HCC1806,KE-39,QGP-1,NCI-H1793,NCI-H209,HCC-1833,DMS 114,KARPAS-620,NUGC-3,COLO-678,HT-1197,UACC-812,LK-2,HSC-3,HOS,HMCB,OVK18,PE/CA-PJ49,MOLP-2,NCI-H2170,COLO 741,SW 1573,FU-OV-1,SNU-C5,NCI-H1944,MG-63,SF126,EC-GI-10,JHH-1,SW1463,MCAS,T98G,RT-112,UACC-257,OUMS-23,UACC-62,SW1116,U-251 MG,NCI-H2405,VM-CUB1,SK-UT-1,SNU-8,NCI-H322,NCI-H2085,22Rv1,HEC-151,KMBC-2,A172,FTC-238,HCC-1195,CADO-ES1,IGR-1,HEC-6,HEC-50B,647-V,Hs 766T,WM-983B,SNU-407,LUDLU-1,MES-SA,NCI-H1623,Caov-3,MEL-HO,TUHR10TKB,B-CPAP,CAL-51,MDA-MB-435S,KYSE-140,ZR-75-30,BxPC-3,Sq-1,Saos-2,BICR 56,NCI-H2009,HT-144,JHOM-1,Malme-3M,Hs 746T,TOV-112D,BDCM,NCI-H510,NCI-H1563,RH-30,LU65,Calu-6,LXF-289,IGROV1,NCI-H2196,SNU-398,TE-8,NCI-H1092,UM-UC-3,8505C,Panc 08.13,TE-11,EFM-192A,NCI-H1915,YD-38,SK-MEL-1,Hs 944.T,G-361,SNU-1076,MeWo,BICR 22,23132/87,RERF-LC-MS,KP-3,MDST8,Hs 934.T,PE/CA-PJ15,PLC/PRF/5,HSC-4,SNU-761,SK-N-AS,L-1236,HCT-15,SK-MEL-24,MCF7,NCI-H508,MIA PaCa-2,HCC-15,REC-1,NCI-H889,CI-1,TOV-21G,NCI-H661,Detroit 562,C32,PE/CA-PJ34 (clone C12),NCI-H2286,NCI-H69,COR-L279,NCI-H1755,HCC-1588,CAL-12T,RD,ESS-1,HEC-265,COV644,CL-11,TE-4,COR-L95,LCLC-97TM1,CAL-85-1,HD-MY-Z,TUHR14TKB,KMRC-3,HL-60,MJ,NCI-H2228,VMRC-LCD,RERF-LC-AI,KP-N-SI9s,NCI-H841,COR-L105,ML-1,SNU-1033,42-MG-BA,HCC1954,8305C,U266B1,BCP-1,HT-1080,WM-88,"G-292, clone A141B1",LS513,NCI-H2029,DMS 273,SNU-878,SCaBER,UM-UC-1,NCI-H522,GI-1,HCC827,P3HR-1,CGTH-W-1,NCI-H28,JHUEM-3,OCI-LY10,SNU-119,Daoy,TYK-nu,SBC-5,LU99,NCI-H660,C2BBe1,OV7,Hs 852.T,NCI-H524,ME-1,MC116,GCT,DMS 79,COR-L88,KM12,NCI-H1573,CAL-54,SW620,TE-6,BT-474,KLE,SNU-216,CAL 27,RL95-2,GB-1,OCUM-1,COLO 792,COLO 684,NCI-N87,RH-18,EHEB,EBC-1,Hs 940.T,NB-1,CAL-33,MDA-MB-361,Raji,WM-266-4,CW-2,NCI-H1435,JHH-2,OCI-M1,SCC-4,SNU-5,TC-71,KP4,IM95,HDLM-2,PA-TU-8988S,COR-L51,NCI-H716,NCI-H526,LS123,SW948,NCI-H1385,SK-BR-3,HSC-2,YD-15,COLO 668,LNCaP clone FGC,HCC2935,TE-15,OC 314,Hs 888.T,CAL-148,SK-CO-1,MDA-MB-468,HCC1500,SNU-1214,KNS-60,VCaP,253J,SNU-175,RPMI-7951,JHUEM-1,RL,HUP-T4,Calu-3,KCL-22,EJM,PC-14,SNU-886,SNU-466,NCI-H358,NCI-H1568,LOX IMVI,WM-115,AN3 CA,AU565,NCI-H1693,NCI-H2171,SU-DHL-10,SNU-478,HuNS1,JHH-5,SH-4,SR-786,SK-N-FI,HT115,EPLC-272H,CCK-81,CMK,Hs 578T,MONO-MAC-6,G-401,SK-N-SH,L-363,NCI-H520,NOMO-1,HCC4006,HPB-ALL,KYO-1,SIMA,NCI-H2141,SK-MES-1,Li-7,MHH-CALL-3,KMS-18,L-428,K-562,NCI-H747,NCI-H23,GDM-1,NUGC-4,JMSU-1,HEL 92.1.7,TF-1,NCI-H2087,AMO-1,HEL,HuH-6,LAMA-84,U-2 OS,U-937,CHP-126,KMS-27,FU97,SNU-C1,U-BLC1,KYM-1,SCC-25,NH-6,MDA-MB-453,SK-N-BE(2),TE-5,SW579,Reh,PL-21,LoVo,SNU-620,SNU-1,DMS 454,T84,HCC2218,JeKo-1,KARPAS-422,OCI-AML5,G-402,SIG-M5,JJN-3,SUP-HD1,NCI-H1155,HT,5637,COLO-320,KELLY,NCI-H1975,TE 617.T,GP2d,KARPAS-299,NCI-H1703,NCI-H1184,NCI-H2106,SNU-81,MHH-ES-1,NCI-H1666,NCI-H1105,JVM-2,NCI-H446,JURKAT,YD-10B,NCI-H1734,SUP-B15,SU-DHL-4,NCI-H2081,OCI-LY-19,NCC-StC-K140,SK-N-DZ,NCI-H146,SK-ES-1,KM-H2,MHH-NB-11,DMS 53,TE 441.T,DOHH-2,A3/KAW,KO52,MEC-1,L-540,GRANTA-519,MDA-MB-157,MOLT-13,DND-41,NAMALWA,RPMI 8226,P31/FUJ,NCI-H1581,MOTN-1,JURL-MK1,HCC-44,COV434,SK-N-MC,NB-4,MM1-S,MOLP-8,MSTO-211H,DEL,NCI-H929,SNU-182,RH-41,D283 Med,Set-2,CA46,SW48,LP-1,HH,GSS,OCI-LY3,SNU-1079,DB,SKM-1,F-36P,OCI-AML2,SK-MM-2,CHP-212,MHH-CALL-4,KHM-1B,SU-DHL-1,A-673,A-204,PF-382,ALL-SIL,KE-97,KMS-28BM,P12-ICHIKAWA,SUP-T11,SU-DHL-8,MOLM-6,Hs 611.T,THP-1,BL-70,SUP-T1,DV-90,NCI-H810,RCH-ACV,NCI-H1694,KASUMI-1,MONO-MAC-1,Mino,DU4475,JHUEM-2,KMS-20,KU812,BV-173,IMR-32,KMS-11,HuT 78,AML-193,WSU-DLCL2,M-07e,EM-2,TALL-1,ST486,JVM-3,Ki-JK,ECC10,KE-37,OPM-2,RPMI-8402,NCO2,JK-1,NCI-H211,SU-DHL-6,A2780,OCI-AML3,NCI-H1341,MOLT-16,SUP-M2,KASUMI-2,MOLM-16,CML-T1,NU-DHL-1,JM1,RI-1,MOLM-13,KMS-26,HGC-27,SNU-16,A4/Fuk,RS4;11,EB1,KMS-21BM,MV-4-11,KMS-12-BM,PEER,NU-DUL-1,NALM-6,SEM,Daudi,697,KMS-34,GA-10,Pfeiffer,EOL-1
16-beta-bromoandrosterone,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,1.0,,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,,,,,1.0,,,,1.0,1.0,,,,,,1.0,1.0,,,1.0,1.0,1.0
3-Cl-AHPC,,,,,,0.0,,,,,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,,,,,,,,,,0.0,,,,,0.0,,,,,,,,0.0,,,,,,0.0,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,0.0,,0.0,,,0.0,0.0,,,,,,,,,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,0.0,0.0,,,,,,,0.0,,,,0.0,,0.0,,,,1.0,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,0.0,0.0,,1.0,,,,,,,,,0.0,,,,,0.0,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,0.0,,,1.0,,,,,0.0,,,,,,,1.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,,1.0,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,1.0,,,,,,1.0,,,,,0.0,,,,,,,1.0,,,,,0.0,,1.0,0.0,,1.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,0.0,,1.0,,1.0,,1.0,0.0,,1.0,,,,,,,1.0,,,,1.0,,,,,,,1.0,1.0,,,1.0,,,,1.0,,,1.0,,,1.0,,,,1.0,,,,0.0,,,,1.0,1.0,,,,1.0,1.0,,,,,,,1.0,,1.0,1.0,,,,1.0,1.0,,,1.0,,1.0,1.0,,,,,1.0,,,,,,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,1.0,,1.0,1.0,,,,,,1.0,,,1.0,,,1.0,,1.0,1.0,,1.0,,1.0,,1.0,1.0,,1.0,,,,,,,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,,,1.0,,1.0,,,,1.0,1.0,,1.0,,1.0,,1.0
968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
A-804598,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.0,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
AA-COCF3,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,0.0,,,0.0,0.0,,,0.0,,0.0,,,0.0,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,1.0,,,,1.0,,,1.0,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,0.0,,,0.0,,1.0,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,0.0,1.0,,0.0,,0.0,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,0.0,,,,1.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,1.0,,,,0.0,,,,1.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,1.0,,,,,,,0.0,,,,,,,,1.0,,,,1.0,,,,0.0,,0.0,,0.0,,,,,,,,,,,,0.0,0.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,0.0,,,,,,,,,1.0,,,,,0.0,,,,,1.0,0.0,,0.0,,,,1.0,,1.0,0.0,,1.0,,0.0,,1.0,1.0,,,0.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,0.0,,,,,,,,1.0,,,,,,0.0,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,1.0,,1.0,1.0,,1.0,,,,,1.0,1.0,,,,,,,,1.0,,,,,0.0,,,,,,,,,,,,,,,1.0,,,,,0.0,1.0,,,,,,1.0,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,,1.0,,,,,0.0,,1.0,,,,,,,,,1.0,,,,,,1.0,,,,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,,,1.0,,1.0,,1.0,,,,1.0,,,,,1.0,,,,,,,,1.0,1.0,1.0,,,1.0,,1.0,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,,1.0,1.0,,1.0,,,,1.0,1.0,1.0,,,,1.0,,,1.0,,,,,,,,1.0,1.0,,1.0,1.0,1.0
ABT-199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
ABT-737,,,,,,,0.0,,,0.0,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,1.0,0.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,1.0,,,,1.0,,,,,,0.0,,,,,,,0.0,,,,,,,,,,1.0,,,,,,,,0.0,,,,,,0.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,1.0,,,1.0,,,,,,,1.0,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,1.0,,,,0.0,,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,0.0,,,1.0,1.0,,,,,,,1.0,,,,1.0,1.0,,,1.0,,,,,,1.0,,,1.0,,,1.0,,,,1.0,,1.0,,1.0,,,1.0,,,,,,1.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,1.0,,,1.0,,,,,1.0,,,,1.0,1.0,,1.0,,,1.0,1.0,,1.0,,,,,,,,,,1.0,,,1.0,,1.0,,,,
AC55649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,1.0
