,NSC,CID,SMILES,MECHANISM,NAME
0,1,11122,CC1=CC(=O)C=CC1=O,Other,p-Toluquinone
1,17,219123,CCCCCCCCCCCCCCCC1=C(C=CC(=C1)O)N,Other,4-Amino-3-pentadecylphenol
2,89,92844,CN(C)CCC(=O)C1=CC=CC=C1.Cl,Other,3-(Dimethylamino)propiophenone hydrochloride
3,185,6197,CC1CC(C(=O)C(C1)C(CC2CC(=O)NC(=O)C2)O)C,Other,Cycloheximide
4,758187,6197,CC1CC(C(=O)C(C1)C(CC2CC(=O)NC(=O)C2)O)C,Other,Cycloheximide
5,295,4775,C1=CC=C(C=C1)CCCC(=O)O,Other,4-Phenylbutyric acid
6,353,24180741,CCN(CC)CCCNC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC.Cl,Other,"Chloro-9-[[3-(diethylamino)propyl]amino]-2-methoxyacridine, dihydrate"
7,384,54599265,CCCCCN(CCCCC)CCCNC1=C2CCCCC2=NC3=C1C=C(C=C3)Cl.OP(=O)(O)O,Other,"7-Chloro-9-[[3-(dipentylamino)propyl]amino]-1,3,4-tetrahydroacridine, phosphate (3:2)"
8,596,219376,CC1=C(C(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Br)[N+](=O)[O-],Other,"2-Bromo-4-methyl-1,3,5-trinitrobenzene"
9,629,11254,C1C(O1)C2CO2,Other,"2,2'-Bioxirane"
10,721,690109,C1=CC=C2C(=C1)C(=C(N2)O)N=NC(=S)N,Other,"Hydrazinecarbothioamide, 2-(1,2-dihydro-2-oxo-3H-indol-3-ylidene)-"
11,739,2154,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=NC(=N3)N)N,Other,4-Aminopteroylglutamic acid
12,757427,2154,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=NC(=N3)N)N,Other,4-Aminopteroylglutamic acid
13,740,126941,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,DNA,Methotrexate
14,742,6331826,C(C(C(=O)O)N)OC(=O)C=[N+]=N,Other,Diazoacetate(ester) L-serine
15,749,135403646,C12=NNN=C1N=C(NC2=O)N,Other,8-Azaguanine
16,752,2723601,C1=NC2=C(N1)C(=S)N=C(N2)N,DNA,Thioguanine
17,757348,2723601,C1=NC2=C(N1)C(=S)N=C(N2)N,DNA,Thioguanine
18,755,667490,C1=NC2=C(N1)C(=S)N=CN2,DNA,Mercaptopurine
19,759614,667490,C1=NC2=C(N1)C(=S)N=CN2,DNA,Mercaptopurine
20,757,6167,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,TUBB,Colchicine
21,756702,6167,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,TUBB,Colchicine
22,762,5935,CN(CCCl)CCCl.Cl,DNA,Mechlorethamine hydrochloride
23,798,5354119,C1=CC=C(C=C1)C=CC(=O)C2=CC=CC=N2,Other,(E)-3-Phenyl-1-(pyridin-2-yl)prop-2-en-1-one
24,830,736782,C1=CN=CC=C1C=CC(=O)O,Other,3-(4-Pyridyl)acrylic acid
25,885,219490,CN(C)C1=C(C=C(C=C1)C(=O)C2=CC(=C(C=C2)N(C)C)N)N,Other,Bis[3-amino-4-(dimethylamino)phenyl]methanone
26,1010,219563,C1=CC=C(C=C1)C(C2=C(C3=C(C=CC=N3)C=C2)O)NC4=CC=C(C=C4)[N+](=O)[O-],Other,8-Hydroxy-7-[a-(4-nitroanilino)benzyl]quinoline
27,1011,219564,C1=CC=C(C=C1)C(C2=C(C3=C(C=CC=N3)C=C2)O)NC4=CC=C(C=C4)C(=O)O,Other,4-[[(8-Hydroxyquinolin-7-yl)-phenylmethyl]amino]benzoic acid
