,NSC,CID,SMILES,MECHANISM,DrugBank ID,Drug Name,SID,is_dti
13468,694262,393012,CC1=CC=C(C=C1)S(=O)(=O)[O-].C[N+]1=C2C(=C(C3=CC=CC=C3N2C4=CC=CC=C41)NCCCN5CCOCC5)C#N,Other,,"4-Methylbenzenesulfonate;7-methyl-5-(3-morpholin-4-ylpropylamino)benzimidazolo[1,2-a]quinolin-7-ium-6-carbonitrile",393012,False
13469,694264,6712519,C1=CC=C2C(=C1)N=C(S2)C(C#N)C3=C(C=CC=N3)[N+](=O)[O-],Other,,-,-,False
13470,694265,393017,CN1C2=CC=CC=C2N3C1=C(C(=O)C4=C3N=CC=C4)C#N,Other,,STL338719,393017,False
13471,694266,393018,CC1=CC=C(C=C1)S(=O)(=O)O.CN1C2=CC=CC=C2N3C1=C4C(=NN=C4N)C5=CC=CC=C53,Other,,NCIChal_000043,393018,False
13472,694268,393022,CC1=CC=C(C=C1)S(=O)(=O)[O-].C[N+]1=C2C(=C(C3=CC=CC=C3N2C4=CC=CC=C41)NCCCN5C=CN=C5)C#N,Other,,"5-(3-Imidazol-1-ylpropylamino)-7-methylbenzimidazolo[1,2-a]quinolin-7-ium-6-carbonitrile;4-methylbenzenesulfonate",393022,False
13473,694269,393024,CC1=CC=C(C=C1)S(=O)(=O)[O-].C[N+]1=C2C(=C(C3=C(N2C4=CC=CC=C41)N=CC=C3)NCCC5=CC(=CC=C5)OC)C#N,Other,,"Benzimidazo[1,2-a][1,8]naphthyridin-7-ium, 6-cyano-5-[[2...",393024,False
13474,694316,393038,C1=CC(=C(C2=C1NN=C2)Cl)[N+](=O)[O-],Other,,4-Chloro-5-nitro-1H-indazole,393038,False
13475,694341,393057,C1CCN(CC1)C2=CC3=C(C=C2)NC(=O)CN3,Other,,"6-(1-Piperidinyl)-3,4-dihydro-2(1H)-quinoxalinone",393057,False
13476,694342,393058,CCOC(=O)CCC(C(=O)OCC)NC(=O)C1=CC=C(C=C1)OC2=NC3=C(C=C(C=C3N=C2C4=CC=CC=C4)C(F)(F)F)N,Other,,Diethyl 2-[[4-[8-amino-3-phenyl-6-(trifluoromethyl)quinoxalin-2-yl]oxybenzoyl]amino]pentanedioate,393058,False
13477,694454,393068,CN(C)CCOC1=CC2=C(C=C1)NC(=C2)C(=O)N3CC(C4=C3C=C(C5=CC=CC=C54)[N+](=O)[O-])CCl,Other,,VGNDLIWXFSMOLL-UHFFFAOYSA-N,393068,False
13478,694456,393071,CC(=O)NC1=CC(=NN1C)C(=O)NC2=CC(=NN2C)C(=O)N3CC(C4=C3C=C(C5=CC=CC=C54)N)CCl,Other,,"5-Acetamido-N-[5-[5-amino-1-(chloromethyl)-1,2-dihydrobenzo[e]indole-3-carbonyl]-2-methylpyrazol-3-yl]-1-methylpyrazole-3-carboxamide",393071,False
13479,694470,393085,CCOC(=O)C1=CC2=C3C=CN(C3=CC(=C2N1)O)CC4=CC=CC=C4,Other,,"Ethyl 6-benzyl-4-hydroxy-3H-pyrrolo[3,2-e]indole-2-carboxylate",393085,False
13480,694472,393087,CCOC(=O)C1=CC2=C(N1)C(=O)CC3=C2CCN3CC4=CC=CC=C4,Other,,"Ethyl 6-benzyl-4-oxo-3,5,7,8-tetrahydropyrrolo[3,2-e]indole-2-carboxylate",393087,False
13481,694475,393091,CC1=NOC(=C1)C2=CC=C(N2)C(=O)C(C3=CC=CC=C3)(C4=CC=CC=C4)C5=CC=CC=C5,Other,,"1-(5-(3-Methyl-5-isoxazolyl)-1H-pyrrol-2-yl)-2,2,2-triphenylethanone",393091,False
13482,694477,393093,CCOC(=O)C1=CC=C(C=C1)N(C)CC2=CN=C3C(=N2)C(=NC(=N3)N)N,Other,,DAMPA Ethyl Ester,393093,False
13483,694478,393094,CCCC(C)NC(=O)C1=CC=C(C=C1)N(C)CC2=CN=C3C(=N2)C(=NC(=N3)N)N,Other,,SEOUDLUVPQXRMF-UHFFFAOYSA-N,393094,False
13484,694480,393096,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC45CC6CC(C4)CC(C6)C5,Other,,"N-(1-Adamantyl)-4-[(2,4-diaminopteridin-6-yl)methyl-methylamino]benzamide",393096,False
13485,694482,393097,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC4CCCCC4,Other,,"N-Cyclohexyl-4-[(2,4-diaminopteridin-6-yl)methyl-methylamino]benzamide",393097,False
13486,694483,393098,CC(C)COC(=O)OC(=O)C1=CC=C(C=C1)N(C)CC2=CN=C3C(=N2)C(=NC(=N3)N)N,Other,,"Isobutoxycarbonyl 4-[(2,4-diaminopteridin-6-yl)methyl-methyl-amino]benzoate",393098,False
13487,694484,393099,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NCCCC(=O)O,Other,,4-[N-(4-amino-4-deoxy-N10-methylpteroyl)aminobutanoic acid,393099,False
13488,694485,393100,C1=CC(=CC=C1C(=O)O)N(CC2=CN=C3C(=N2)C(=NC(=N3)N)N)C=O,Other,,"Benzoic acid, 4-[[(2,4-diaminopteridinyl)-6-methyl] (for...",393100,False
13489,694486,393101,CN(CC1=CN=C2C(=NC(=NC2=N1)N)N)C3=CC=C(C=C3)Cl,Other,,"2,4-Diamino-7-(4-chloroanilino)methylpteridine",393101,False
13490,694488,4998422,CC(=O)OCC1=CN=C2C3=C1C4=CC=CC=C4N=C3C(=O)C5=C2N=CC=C5,Other,,"9H-Quino[4,3,2-de][1,10]phenanthrolin-9-one, 3-(acetoxym...",4998422,False
13491,694489,393103,C=C(C=O)C1=C2C(=NC3=CC=CC=C31)C(=O)C4=CC=CC=C4C2=O,Other,,"Benz[b]acridine-12-acetaldehyde, 6,11-dihydro- .alpha.-m...",393103,False
13492,694490,393104,C1=CC=C2C(=C1)C(=O)C3=C(C4=CC=CC=C4N=C3C2=O)C5=CC(=CN=C5)C6=C7C(=NC8=CC=CC=C86)C(=O)C9=CC=CC=C9C7=O,Other,,"Benz[b]acridine-6,11-dione, 12,12'-(3,5-pyridinediyl)bis-",393104,False
13493,694491,393105,C1=CC=C2C(=C1)C3=C4C(=C(C=C3)C5=C6C(=NC7=CC=CC=C75)C(=O)C8=C(C6=O)N=CC=C8)C9=C(C=CC=N9)C(=O)C4=N2,Other,,"Pyrido[2,3-b]acridine-5,12-dione, 11-(8-oxo-8H-benzo[mn]...",393105,False
13494,694493,4532977,C1=CC=C2C(=C1)C3=CC(=NC4=C3C(=N2)C(=O)C5=C4N=CC=C5)C6=CN=CC=C6,Other,,"9H-Quino[4,3,2-de][1,10]phenanthrolin-9-one, 2-(3-pyridi...",4532977,False
13495,694494,4261195,C1=CC=C2C(=C1)C3=CC(=NC4=C3C(=N2)C(=O)C5=C4N=CC=C5)C6=CC=NC=C6,Other,,"11-Pyridin-4-yl-2,12,15-triazapentacyclo[11.7.1.03,8.09,21.014,19]henicosa-1,3,5,7,9,11,13(21),14(19),15,17-decaen-20-one",4261195,False
13496,694497,393109,CN1C2=CC=CC=C2C3=C1C4=CC=CC=C4C(=CO3)C(=O)OC,Other,,"Methyl 12-methyl-[3]benzoxepino[1,2-b]indole-5-carboxylate",393109,False
13497,694498,393110,CCN(CC)CCCNC1=C2C(=C3C(=C4C=CC=CC4=N3)C=C2C=NN1)C,Other,,"4-(3-Diethylaminopropylamino)-5-methyl-6H-pyridazino[4,5...",393110,False
